x;gen;L;D;N;phi;theta;alv_frac;h_ep_u;h_ep_l;h_sub_u;h_sub_l;h_tb;h_al
0.513;1;1.026;0.1539;1;0.34906585;1.666789436;0;0.00055;3.61E-06;0.005;2.20E-05;1.10E-04;7.00E-07
1.2295;2;0.407;0.1043;2;0.541052068;0.975639052;0;0.00055;3.61E-06;0.005;2.20E-05;1.10E-04;7.00E-07
1.5142;3;0.1624;0.071;4;0.750491578;0.572467995;0;0.00055;3.61E-06;0.005;2.20E-05;1.10E-04;7.00E-07
1.6279;4;0.065;0.0479;8;0.680678408;0.338593875;0;0.00055;3.61E-06;0.005;2.20E-05;1.10E-04;7.00E-07
1.7147;5;0.1086;0.0385;16;0.680678408;0.705113018;0;0.00055;3.61E-06;0.005;2.20E-05;1.10E-04;7.00E-07
1.81475;6;0.0915;0.0299;32;0.698131701;0.764454212;0;0.00055;3.61E-06;0.005;2.20E-05;1.10E-04;7.00E-07
1.89895;7;0.0769;0.0239;64;0.628318531;0.802851456;0;0.00055;3.61E-06;0.00425;2.20E-05;1.10E-04;7.00E-07
1.9699;8;0.065;0.0197;128;0.680678408;0.825540736;0;0.00055;3.61E-06;0.0026;2.20E-05;1.10E-04;7.00E-07
2.02975;9;0.0547;0.0159;256;0.785398163;0.860447321;0;0.00015;3.61E-06;0.00095;2.20E-05;1.10E-04;7.00E-07
2.0802;10;0.0462;0.0132;512;0.750491578;0.876155285;0;0.00015;3.61E-06;0.0002;2.20E-05;6.00E-05;7.00E-07
2.12295;11;0.0393;0.0111;1024;0.785398163;0.884881931;0;0.00015;3.61E-06;0.0002;2.20E-05;6.00E-05;7.00E-07
2.15925;12;0.0333;0.0093;2048;0.785398163;0.895353906;0;0.00015;3.61E-06;0.0002;2.20E-05;6.00E-05;7.00E-07
2.19;13;0.0282;0.0081;4096;1.047197551;0.869173967;0;0.00015;3.61E-06;0.0002;2.20E-05;6.00E-05;7.00E-07
2.21565;14;0.0231;0.007;8192;1.047197551;0.823795407;0;0.00015;3.61E-06;0.0002;2.20E-05;6.00E-05;7.00E-07
2.23705;15;0.0197;0.0063;16384;1.047197551;0.776671517;0;0.00015;3.61E-06;0.000172188;2.20E-05;6.00E-05;7.00E-07
2.25545;16;0.0171;0.0056;32768;1.047197551;0.757472895;0;0.00015;3.61E-06;0.000111;2.20E-05;6.00E-05;7.00E-07
2.27105;17;0.0141;0.0051;65536;1.047197551;0.687659725;0;0.00015;3.61E-06;4.98E-05;2.20E-05;6.00E-05;7.00E-07
2.28415;18;0.0121;0.0046;131072;1.047197551;0.785398163;0.002;0.00015;3.61E-06;2.20E-05;2.20E-05;6.00E-05;7.00E-07
2.2952;19;0.01;0.0043;262144;1.047197551;0.785398163;0.007;0.00015;3.61E-06;2.20E-05;2.20E-05;6.00E-05;7.00E-07
2.30445;20;0.0085;0.004;524288;1.047197551;0.785398163;0.02;0.00015;3.61E-06;2.20E-05;2.20E-05;6.00E-05;7.00E-07
2.31225;21;0.0071;0.0038;1048576;1.047197551;0.785398163;0.07;0.00015;3.61E-06;2.20E-05;2.20E-05;6.00E-05;7.00E-07
2.3188;22;0.006;0.0037;2097152;1.047197551;0.785398163;0.139;0.00015;3.61E-06;2.20E-05;2.20E-05;6.00E-05;7.00E-07
2.3243;23;0.005;0.0035;4194304;1.047197551;0.785398163;0.282;0.00015;3.61E-06;2.20E-05;2.20E-05;6.00E-05;7.00E-07
2.32895;24;0.0043;0.0035;8388608;1.047197551;0.785398163;0.48;0.00015;3.61E-06;2.20E-05;2.20E-05;6.00E-05;7.00E-07
